time,rpm,tps,temp,injector_ms,throttle_target,ignition
0.000,833.0,0.0,70.6,1.45,9.47,1
0.010,827.0,0.0,70.5,1.47,9.70,1
0.020,843.0,0.0,70.5,1.44,9.39,1
0.030,836.0,0.0,70.2,1.45,9.54,1
0.040,849.0,0.0,70.1,1.43,9.26,1
0.050,812.0,0.0,70.7,1.49,9.87,1
0.060,840.0,0.0,70.9,1.42,9.22,1
0.070,813.0,0.0,70.6,1.48,9.75,1
0.080,840.0,0.0,70.6,1.42,9.17,1
0.090,822.0,0.0,70.6,1.46,9.55,1
0.100,811.0,0.0,70.8,1.46,9.62,1
0.110,817.0,0.0,70.9,1.45,9.46,1
0.120,832.0,0.0,70.0,1.42,9.23,1
0.130,812.0,0.0,70.3,1.46,9.59,1
0.140,817.0,0.0,70.5,1.44,9.40,1
0.150,829.0,0.0,70.2,1.42,9.22,1
0.160,822.0,0.0,70.8,1.44,9.36,1
0.170,819.0,0.0,70.7,1.44,9.35,1
0.180,843.0,0.0,70.6,1.39,8.93,1
0.190,811.0,0.0,70.2,1.45,9.52,1
0.200,829.0,0.0,70.3,1.41,9.06,1
0.210,821.0,0.0,70.9,1.43,9.25,1
0.220,834.0,0.0,70.7,1.40,8.98,1
0.230,848.0,0.0,70.4,1.38,8.79,1
0.240,815.0,0.0,70.0,1.43,9.34,1
0.250,813.0,0.0,70.6,1.42,9.19,1
0.260,841.0,0.0,70.0,1.37,8.72,1
0.270,806.0,0.0,70.3,1.44,9.38,1
0.280,812.0,0.0,70.0,1.41,9.10,1
0.290,846.0,0.0,70.1,1.36,8.58,1
0.300,805.0,0.0,70.5,1.44,9.36,1
0.310,834.0,0.0,70.7,1.37,8.68,1
0.320,836.0,0.0,70.5,1.38,8.76,1
0.330,846.0,0.0,70.9,1.36,8.58,1
0.340,813.0,0.0,70.7,1.41,9.11,1
0.350,824.0,0.0,70.5,1.38,8.75,1
0.360,832.0,0.0,70.5,1.37,8.66,1
0.370,814.0,0.0,70.7,1.40,8.95,1
0.380,834.0,0.0,70.4,1.35,8.53,1
0.390,843.0,0.0,70.0,1.35,8.45,1
0.400,837.0,0.0,70.8,1.35,8.55,1
0.410,826.0,0.0,70.8,1.37,8.66,1
0.420,838.0,0.0,70.4,1.34,8.38,1
0.430,803.0,0.0,70.1,1.40,8.97,1
0.440,804.0,0.0,70.9,1.38,8.77,1
0.450,832.0,0.0,70.0,1.33,8.33,1
